date,link
01_08_15,Past_Sales/1_08_15_MARKET.html
01_24_13,Past_Sales/01_24_13_Market.htm
01_19_12,Past_Sales/1-19-2012marketreport.html
01_06_11,/Cow_Sales/Past_Sales/1-06-2011marketreport.html
01_07_10,/Cow_Sales/Past_Sales/1-07-2010marketreport.html
01_08_09,/Cow_Sales/Past_Sales/1-08-2009marketreport.html
01_15_09,/Cow_Sales/Past_Sales/01-15-2009marketreport.html
01_22_09,/Cow_Sales/Past_Sales/1-22-2009marketreport.html
01_29_09,/Cow_Sales/Past_Sales/01-29-09marketreport.html
02_06_14,Past_Sales/2_6_14_Market.htm
"02_05_09
				      0",/Cow_Sales/Past_Sales/2-05--2009marketreport.html
2_12_09,/Cow_Sales/Past_Sales/2-12--2009marketreport.html
02_19_09,/Cow_Sales/Past_Sales/02_19_09marketreport.html
02_26_09,/Cow_Sales/Past_Sales/2-26--2009marketreport.html
02_07_08,Past_Sales/02_07_08_Market.html
02_21_08,Past_Sales/02_21_08_Market.htm
05_24_12,Past_Sales/05_24_12_Market.htm
05_31_12,Past_Sales/05_31_12_Market.htm
06_05_14,Past_Sales/6_5_14_Market.htm
08_27_09,Past_Sales/08-27-2009marketreport.html
09_03_09,Past_Sales/09-03-2009marketreport.html
09_24_09,Past_Sales/09-24-2009marketreport.html
10_01_09,Past_Sales/10-01-2009marketreport.html
10_08_09,Past_Sales/10-08-2009marketreport.html
10_22_09,Past_Sales/10-22-2009marketreport.html
10_02_08,/Cow_Sales/Past_Sales/10-02-2008marketreport.html
12_11_14,Past_Sales/12_11_14_MARKET.html
12_18_14,Past_Sales/12_18_14_MARKET.html
12_20_12,Past_Sales/12_20_12_Market.html
12_10_11,Past_Sales/12-110-2011marketreport.html
12_16_10,Past_Sales/12-16-2010marketreport.html
12_13_08,/Cow_Sales/Past_Sales/12-13-2008marketreport.html
12_18_08,/Cow_Sales/Past_Sales/12-18-2008marketreport.html
